Run #1	Run #1
Time (s)	Voltage (V)
18.050	3.442
18.100	3.442
18.150	3.442
18.200	3.447
18.250	3.438
18.300	3.442
18.350	3.442
18.400	3.442
18.450	3.442
18.500	3.442
18.550	3.442
18.600	3.442
18.650	3.442
18.700	3.442
18.750	3.442
18.800	3.442
18.850	3.442
18.900	3.442
18.950	3.442
19.000	3.442
19.050	3.442
19.100	3.442
19.150	3.442
19.200	3.442
19.250	3.442
19.300	3.442
19.350	3.438
19.400	3.442
19.450	3.442
19.500	3.442
19.550	3.442
19.600	3.442
19.650	3.442
19.700	3.442
19.750	3.442
19.800	3.442
19.850	3.442
19.900	3.442
19.950	3.442
20.000	3.442
20.050	3.442
20.100	3.442
20.150	3.442
20.200	3.442
20.250	3.442
20.300	3.442
20.350	3.442
20.400	3.442
20.450	3.442
20.500	3.442
20.550	3.442
20.600	3.442
20.650	3.442
20.700	3.442
20.750	3.442
20.800	3.442
20.850	3.442
20.900	3.442
20.950	3.442
21.000	3.442
21.050	3.442
21.100	3.442
21.150	3.442
21.200	3.442
21.250	3.442
21.300	3.442
21.350	3.442
21.400	3.447
21.450	3.442
21.500	3.442
21.550	3.438
21.600	3.442
21.650	3.442
21.700	3.442
21.750	3.442
21.800	3.442
21.850	3.442
21.900	3.442
21.950	3.442
22.000	3.442
22.050	3.442
22.100	3.442
22.150	3.442
22.200	3.447
22.250	3.442
22.300	3.442
22.350	3.442
22.400	3.442
22.450	3.442
22.500	3.442
22.550	3.442
22.600	3.447
22.650	3.442
22.700	3.442
22.750	3.442
22.800	3.447
22.850	3.442
22.900	3.442
22.950	3.442
23.000	3.447
23.050	3.442
23.100	3.442
23.150	3.442
23.200	3.442
23.250	3.442
23.300	3.442
23.350	3.442
23.400	3.442
23.450	3.442
23.500	3.442
23.550	3.442
23.600	3.442
23.650	3.442
23.700	3.442
23.750	3.438
23.800	3.442
23.850	3.442
23.900	3.442
23.950	3.442
24.000	3.442
24.050	3.442
24.100	3.442
24.150	3.442
24.200	3.442
24.250	3.438
24.300	3.442
24.350	3.442
24.400	3.442
24.450	3.438
24.500	3.442
24.550	3.438
24.600	3.442
24.650	3.442
24.700	3.442
24.750	3.438
24.800	3.442
24.850	3.442
24.900	3.442
24.950	3.438
25.000	3.442
25.050	3.442
25.100	3.442
25.150	3.438
25.200	3.438
25.250	3.438
25.300	3.438
25.350	3.438
25.400	3.442
25.450	3.438
25.500	3.442
25.550	3.438
25.600	3.442
25.650	3.438
25.700	3.442
25.750	3.438
25.800	3.442
25.850	3.438
25.900	3.438
25.950	3.438
26.000	3.442
26.050	3.442
26.100	3.442
26.150	3.438
26.200	3.442
26.250	3.438
26.300	3.438
26.350	3.438
26.400	3.442
26.450	3.442
26.500	3.442
26.550	3.438
26.600	3.438
26.650	3.438
26.700	3.438
26.750	3.438
26.800	3.442
26.850	3.438
26.900	3.442
26.950	3.438
27.000	3.442
27.050	3.438
27.100	3.438
27.150	3.438
27.200	3.438
27.250	3.438
27.300	3.442
27.350	3.438
27.400	3.442
27.450	3.438
27.500	3.438
27.550	3.438
27.600	3.442
27.650	3.438
27.700	3.438
27.750	3.438
27.800	3.438
27.850	3.438
27.900	3.438
27.950	3.438
28.000	3.438
28.050	3.438
28.100	3.438
28.150	3.442
28.200	3.438
28.250	3.438
28.300	3.438
28.350	3.438
28.400	3.442
28.450	3.438
28.500	3.442
28.550	3.442
28.600	3.438
28.650	3.442
28.700	3.438
28.750	3.438
28.800	3.442
28.850	3.438
28.900	3.438
28.950	3.438
29.000	3.438
29.050	3.438
29.100	3.442
29.150	3.438
29.200	3.438
29.250	3.438
29.300	3.438
29.350	3.438
29.400	3.442
29.450	3.438
29.500	3.438
29.550	3.438
29.600	3.438
29.650	3.438
29.700	3.438
29.750	3.438
29.800	3.438
29.850	3.438
29.900	3.438
29.950	3.438
30.000	3.438
30.050	3.438
30.100	3.438
30.150	3.438
30.200	3.438
30.250	3.438
30.300	3.438
30.350	3.438
30.400	3.438
30.450	3.438
30.500	3.438
30.550	3.438
30.600	3.438
30.650	3.433
30.700	3.438
30.750	3.433
30.800	3.438
30.850	3.438
30.900	3.438
30.950	3.438
31.000	3.438
31.050	3.433
31.100	3.438
31.150	3.433
31.200	3.438
31.250	3.433
31.300	3.433
31.350	3.433
31.400	3.433
31.450	3.433
31.500	3.433
31.550	3.433
31.600	3.433
31.650	3.433
31.700	3.433
31.750	3.428
31.800	3.428
31.850	3.428
31.900	3.433
31.950	3.423
32.000	3.428
32.050	3.423
32.100	3.428
32.150	3.423
32.200	3.428
32.250	3.423
32.300	3.423
32.350	3.423
32.400	3.423
32.450	3.418
32.500	3.418
32.550	3.418
32.600	3.418
32.650	3.418
32.700	3.418
32.750	3.418
32.800	3.418
32.850	3.413
32.900	3.413
32.950	3.413
33.000	3.413
33.050	3.413
33.100	3.413
33.150	3.413
33.200	3.413
33.250	3.408
33.300	3.408
33.350	3.408
33.400	3.408
33.450	3.408
33.500	3.408
33.550	3.408
33.600	3.408
33.650	3.403
33.700	3.408
33.750	3.403
33.800	3.408
33.850	3.403
33.900	3.403
